"feature_label" "variable"
"1" "V1" "tBodyAcc-mean()-X"
"2" "V2" "tBodyAcc-mean()-Y"
"3" "V3" "tBodyAcc-mean()-Z"
"4" "V4" "tBodyAcc-std()-X"
"5" "V5" "tBodyAcc-std()-Y"
"6" "V6" "tBodyAcc-std()-Z"
"7" "V7" "tBodyAcc-mad()-X"
"8" "V8" "tBodyAcc-mad()-Y"
"9" "V9" "tBodyAcc-mad()-Z"
"10" "V10" "tBodyAcc-max()-X"
"11" "V11" "tBodyAcc-max()-Y"
"12" "V12" "tBodyAcc-max()-Z"
"13" "V13" "tBodyAcc-min()-X"
"14" "V14" "tBodyAcc-min()-Y"
"15" "V15" "tBodyAcc-min()-Z"
"16" "V16" "tBodyAcc-sma()"
"17" "V17" "tBodyAcc-energy()-X"
"18" "V18" "tBodyAcc-energy()-Y"
"19" "V19" "tBodyAcc-energy()-Z"
"20" "V20" "tBodyAcc-iqr()-X"
"21" "V21" "tBodyAcc-iqr()-Y"
"22" "V22" "tBodyAcc-iqr()-Z"
"23" "V23" "tBodyAcc-entropy()-X"
"24" "V24" "tBodyAcc-entropy()-Y"
"25" "V25" "tBodyAcc-entropy()-Z"
"26" "V26" "tBodyAcc-arCoeff()-X,1"
"27" "V27" "tBodyAcc-arCoeff()-X,2"
"28" "V28" "tBodyAcc-arCoeff()-X,3"
"29" "V29" "tBodyAcc-arCoeff()-X,4"
"30" "V30" "tBodyAcc-arCoeff()-Y,1"
"31" "V31" "tBodyAcc-arCoeff()-Y,2"
"32" "V32" "tBodyAcc-arCoeff()-Y,3"
"33" "V33" "tBodyAcc-arCoeff()-Y,4"
"34" "V34" "tBodyAcc-arCoeff()-Z,1"
"35" "V35" "tBodyAcc-arCoeff()-Z,2"
"36" "V36" "tBodyAcc-arCoeff()-Z,3"
"37" "V37" "tBodyAcc-arCoeff()-Z,4"
"38" "V38" "tBodyAcc-correlation()-X,Y"
"39" "V39" "tBodyAcc-correlation()-X,Z"
"40" "V40" "tBodyAcc-correlation()-Y,Z"
"41" "V41" "tGravityAcc-mean()-X"
"42" "V42" "tGravityAcc-mean()-Y"
"43" "V43" "tGravityAcc-mean()-Z"
"44" "V44" "tGravityAcc-std()-X"
"45" "V45" "tGravityAcc-std()-Y"
"46" "V46" "tGravityAcc-std()-Z"
"47" "V47" "tGravityAcc-mad()-X"
"48" "V48" "tGravityAcc-mad()-Y"
"49" "V49" "tGravityAcc-mad()-Z"
"50" "V50" "tGravityAcc-max()-X"
"51" "V51" "tGravityAcc-max()-Y"
"52" "V52" "tGravityAcc-max()-Z"
"53" "V53" "tGravityAcc-min()-X"
"54" "V54" "tGravityAcc-min()-Y"
"55" "V55" "tGravityAcc-min()-Z"
"56" "V56" "tGravityAcc-sma()"
"57" "V57" "tGravityAcc-energy()-X"
"58" "V58" "tGravityAcc-energy()-Y"
"59" "V59" "tGravityAcc-energy()-Z"
"60" "V60" "tGravityAcc-iqr()-X"
"61" "V61" "tGravityAcc-iqr()-Y"
"62" "V62" "tGravityAcc-iqr()-Z"
"63" "V63" "tGravityAcc-entropy()-X"
"64" "V64" "tGravityAcc-entropy()-Y"
"65" "V65" "tGravityAcc-entropy()-Z"
"66" "V66" "tGravityAcc-arCoeff()-X,1"
"67" "V67" "tGravityAcc-arCoeff()-X,2"
"68" "V68" "tGravityAcc-arCoeff()-X,3"
"69" "V69" "tGravityAcc-arCoeff()-X,4"
"70" "V70" "tGravityAcc-arCoeff()-Y,1"
"71" "V71" "tGravityAcc-arCoeff()-Y,2"
"72" "V72" "tGravityAcc-arCoeff()-Y,3"
"73" "V73" "tGravityAcc-arCoeff()-Y,4"
"74" "V74" "tGravityAcc-arCoeff()-Z,1"
"75" "V75" "tGravityAcc-arCoeff()-Z,2"
"76" "V76" "tGravityAcc-arCoeff()-Z,3"
"77" "V77" "tGravityAcc-arCoeff()-Z,4"
"78" "V78" "tGravityAcc-correlation()-X,Y"
"79" "V79" "tGravityAcc-correlation()-X,Z"
"80" "V80" "tGravityAcc-correlation()-Y,Z"
"81" "V81" "tBodyAccJerk-mean()-X"
